Summit County,A,Same as yesterday
Pitkin County,A,Up from yesterday
Mono County,A,Up from yesterday
San Miguel County,A,Up from yesterday
Lake of the Woods County,A,Up from yesterday
McIntosh County,A,Up from yesterday
Gilpin County,A-,Same as yesterday
Eagle County,A-,Up from yesterday
Routt County,A-,Same as yesterday
Kauai County,A-,Up from yesterday
Chippewa County,A-,Up from yesterday
Taos County,A-,Same as yesterday
Bennington County,A-,Up from yesterday
Nome Census Area,A-,Down from yesterday
Sitka City and Borough,A-,Down from yesterday
Kodiak Island Borough,A-,Up from yesterday
Ketchikan Gateway Borough,A-,Up from yesterday
Grand County,A-,Same as yesterday
Chaffee County,A-,Up from yesterday
Archuleta County,A-,Up from yesterday
Gunnison County,A-,Up from yesterday
Ouray County,A-,Up from yesterday
Wichita County,A-,Up from yesterday
Nantucket County,A-,Same as yesterday
Alger County,A-,Same as yesterday
Mackinac County,A-,Same as yesterday
Luce County,A-,Down from yesterday
Cook County,A-,Up from yesterday
Marshall County,A-,Up from yesterday
Worth County,A-,Up from yesterday
Fallon County,A-,Down from yesterday
Madison County,A-,Up from yesterday
Sheridan County,A-,Up from yesterday
Sargent County,A-,Up from yesterday
LaMoure County,A-,Up from yesterday
Dickey County,A-,Up from yesterday
Garden County,A-,Up from yesterday
De Baca County,A-,Up from yesterday
Essex County,A-,Up from yesterday
McPherson County,A-,Up from yesterday
Potter County,A-,Up from yesterday
Lamoille County,A-,Same as yesterday
Iron County,A-,Up from yesterday
Pocahontas County,A-,Same as yesterday
Teton County,A-,Same as yesterday
Humboldt County,B+,Up from yesterday
Park County,B+,Same as yesterday
Monroe County,B+,Same as yesterday
Maui County,B+,Same as yesterday
Boise County,B+,Up from yesterday
Dukes County,B+,Same as yesterday
Penobscot County,B+,Same as yesterday
Leelanau County,B+,Up from yesterday
Houghton County,B+,Same as yesterday
Richland County,B+,Up from yesterday
Carroll County,B+,Up from yesterday
Lincoln County,B+,Same as yesterday
Santa Fe County,B+,Up from yesterday
Summit County,B+,Up from yesterday
Wasatch County,B+,Up from yesterday
Washington County,B+,Same as yesterday
Chittenden County,B+,Same as yesterday
Orange County,B+,Up from yesterday
Whitman County,B+,Up from yesterday
La Plata County,B,Up from yesterday
Blaine County,B,Down from yesterday
Kalkaska County,B,Up from yesterday
Carlton County,B,Up from yesterday
Tunica County,B,Down from yesterday
Carbon County,B,Down from yesterday
Brookings County,B,Up from yesterday
Iowa County,B,Up from yesterday
Kusilvak Census Area,B,Down from yesterday
Northwest Arctic Borough,B,Down from yesterday
Winnebago County,B,Up from yesterday
Valley County,B,Down from yesterday
Koochiching County,B,Down from yesterday
Red Lake County,B,Down from yesterday
Blaine County,B,Down from yesterday
Nelson County,B,Down from yesterday
Towner County,B,Down from yesterday
Greeley County,B,Down from yesterday
Kane County,B,Down from yesterday
Santa Barbara County,B,Same as yesterday
Hawaii County,B,Same as yesterday
Latah County,B,Same as yesterday
Marquette County,B,Same as yesterday
Cass County,B,Same as yesterday
Fillmore County,B,Same as yesterday
Coahoma County,B,Same as yesterday
Gallatin County,B,Same as yesterday
Douglas County,B,Same as yesterday
Tompkins County,B,Same as yesterday
Benton County,B,Same as yesterday
Clay County,B,Same as yesterday
Lawrence County,B,Same as yesterday
Pierce County,B,Same as yesterday
Prince of Wales-Hyder Census Area,B,Same as yesterday
Valdez-Cordova Census Area,B,Same as yesterday
Mariposa County,B,Same as yesterday
Lake County,B,Same as yesterday
Webster County,B,Same as yesterday
Worth County,B,Same as yesterday
Custer County,B,Same as yesterday
Washington County,B,Same as yesterday
Kearny County,B,Same as yesterday
Letcher County,B,Same as yesterday
Knott County,B,Same as yesterday
Cheboygan County,B,Same as yesterday
Charlevoix County,B,Same as yesterday
Oscoda County,B,Same as yesterday
Gladwin County,B,Same as yesterday
Ontonagon County,B,Same as yesterday
Huron County,B,Same as yesterday
Baraga County,B,Same as yesterday
Iron County,B,Same as yesterday
Antrim County,B,Same as yesterday
Crawford County,B,Same as yesterday
Gogebic County,B,Same as yesterday
Mahnomen County,B,Same as yesterday
Wadena County,B,Same as yesterday
Lake County,B,Same as yesterday
Sharkey County,B,Same as yesterday
Chouteau County,B,Same as yesterday
Valley County,B,Same as yesterday
Benson County,B,Same as yesterday
Cavalier County,B,Same as yesterday
Boyd County,B,Same as yesterday
Garfield County,B,Same as yesterday
Catron County,B,Same as yesterday
Hamilton County,B,Same as yesterday
